substance_class	substance_source	substance_name	substance_smiles	substance_zinc_id	substance_iupac	substance_binding_site	measurement	activity_KCNQ1_uM	activity_KCNQ1_KCNE1_uM	activity_KCNQ2_uM	activity_KCNQ3_uM	activity_KCNQ2_KCNQ3_uM	activity_KCNQ4_uM	activity_KCNQ5_uM	activity_KCNQ3_KCNQ5_uM	activity_hERG_uM	activity_GABAA_uM	reference	status	comment
NA	Kumar_Jun2016	RL648_73	CCOC(=O)Nc2ccc(NCc1cccc(C(F)(F)F)c1)c(F)c2N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
retigabine Related	Kumar_Jun2016	RL648_81	NC1=C(NC(OCC)=O)C=CC(NCC2=CC=C(C(F)(F)F)C=C2)=C1F	ZINC526061662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
retigabine Related	Kumar_Jun2016	RL648_81	NC1=C(NC(OCC)=O)C=CC(NCC2=CC=C(C(F)(F)F)C=C2)=C1F	ZINC526061662	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Shi, 2020, 10.1007/s00232-020-00113-6)	NA	NA
retigabine Related	Retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Shi, 2020, 10.1007/s00232-020-00113-6)	NA	NA
retigabine Related	NA	RL648_81(D)	CCOC(=O)Nc2ccc(NCc1ccc(C(F)(F)F)cc1)c(F)c2NC(=O)OCC	Not Found	NA	retigabine	NA	NA	NA	EC50 > 50 uM	NA	NA	NA	NA	NA	NA	NA	(Shi, 2020, 10.1007/s00232-020-00113-6)	NA	NA
retigabine Related	NA	NS15370	O=C(Cc1cc(F)cc(F)c1)Nc1ccc(NCc2ccc(F)cc2)nc1N1CCOCC1	ZINC68206324	NA	retigabine	NA	NA	NA	EC50 0.1	NA	EC50 0.13	EC50 0.1	EC50 0.15	NA	NA	NA	(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	There is a paten that has more compounds in the series: Brown WD, Jessen C, Strobaek D. WO2010/094644 A1 (2010).Google Scholar	NA
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Zhou, 2015, 10.1124/mol.114.095190)	NA	NA
retigabine Related	NA	P-RTG	C#CN(Cc1ccc(F)cc1)c2ccc(NC(=O)OCC)c(N)c2	Not Found	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Zhou, 2015, 10.1124/mol.114.095190)	NA	NA
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	NA	NA
retigabine Related	NA	SF-0034	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)c(F)c1N	ZINC143342783	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	NA	NA
Acrylamides	Acrylamide (S)-1	Acrylamide (S)-1	C[C@H](NC(=O)/C=C/c1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2003, 10.1021/jm034073f)	NA	NA
Acrylamides	Acrylamide (S)-1	Acrylamide (S)-1	C[C@H](NC(=O)/C=C/c1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	NA	NA
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	NA	NA
NA	BMS-204352	Oxindole (BMS-204352)	ClC1=CC=C(OC)C([C@@]2(F)C(NC3=C2C=CC(C(F)(F)F)=C3)=O)=C1	NA	(3R)-3-(5-chloro-2-methoxyphenyl)-3-fluoro-6-(trifluoromethyl)-1H-indol-2-one	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	NA	NA
Acrylamides	acrylamide (S)-1	Acrylamide (S)-1	C[C@H](NC(=O)/C=C/c1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	acrylamide (R)-1	Acrylamide (R)-1	C[C@@H](NC(=O)C=Cc1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_2	C[C@H](NC(=O)C=Cc1ccccc1F)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_3	C[C@H](NC(=O)C=Cc1cccc(F)c1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_4	C[C@H](NC(=O)C=Cc1ccc(F)cc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_5	C[C@H](NC(=O)C=Cc1cc(F)ccc1F)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_6	C[C@H](NC(=O)C=Cc1ccc(F)cc1F)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_7	COc1ccccc1C=CC(=O)N[C@@H](C)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_8	COc3cccc(C=CC(=O)N[C@@H](C)c2cccc(N1CCOCC1)c2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_9	COc3ccc(C=CC(=O)N[C@@H](C)c2cccc(N1CCOCC1)c2)cc3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_10	COc2ccc(N1CCOCC1)cc2[C@H](C)NC(=O)C=Cc3ccccc3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_11	COc2ccc([C@H](C)NC(=O)C=Cc1ccccc1)cc2N3CCOCC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_12	C[C@H](NC(=O)C=Cc1ccccc1)c3ccc(F)c(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_13	C[C@H](NC(=O)C=Cc1ccc(F)cc1)c3ccc(F)c(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_14	C[C@H](NC(=O)C=Cc1ccccc1)c3cccc(N2[C@@H](C)COC[C@H]2C)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_15	C[C@H](NC(=O)C=Cc1ccccc1)c3cccc(N2CCCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_16	C[C@H](NC(=O)C=Cc1ccccc1)c2cccc(N(C)C)c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_17	C[C@H](NC(=O)C=Cc1ccccc1)c4cccc(N2C[C@@H]3CC[C@H]2C3)c4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_18	C[C@@H]1COC[C@H](C)N1c3cccc([C@H](C)NC(=O)C=Cc2ccccc2F)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_19	C[C@@H]1COC[C@H](C)N1c3cccc([C@H](C)NC(=O)C=Cc2ccc(F)cc2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_20	C[C@H](NC(=O)C=Cc1ccccc1F)c3cccc(N2CCN(C)CC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_21	C[C@H](NCC=Cc1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_22	O=C(C=Cc1ccccc1)NCc3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_23	C[C@H](NC(=O)CCc1ccccc1)c3cccc(N2CCOCC2)c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_24	C[C@@H](c2cccc(N1CCOCC1)c2)N(C)C(=O)C=Cc3ccccc3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	Wu_Nov2004	Wu_Nov2004_25	CC3=C(C(=O)N[C@@H](C)c2cccc(N1CCOCC1)c2)Cc4ccccc34	NA	3-methyl-N-[(1S)-1-(3-morpholin-4-ylphenyl)ethyl]-1H-indene-2-carboxamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1021/jm0305826)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-3	ClC1=C(/C=C/C(N[C@@H](C)C2=CC=C(OCO3)C3=C2)=O)C=CC=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-4	FC1=C(/C=C/C(N[C@@H](C)C2=CC=C(OCC3)C3=C2)=O)C(F)=CC=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-5	FC1=C(/C=C/C(N[C@@H](C)C2=CC=C(NCC3)C3=C2)=O)C=CC=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-6	FC1=C(/C=C/C(N[C@@H](C)C2=CC=CC(OC3=CC=CN=C3)=C2)=O)C=CC=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-7	O=C(N[C@@H](C)C1=CC=CC(OC2=CC=NC=C2)=C1)/C=C/C3=CC(F)=CC=C3F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	NA	NA
Acrylamides	acrylamide	Acrylamide (S)-2	C[C@H](NC(=O)/C=C/c1ccccc1F)c1ccc2c(c1)N(CC1CC1)CCO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Blom, 2009, 10.1371/journal.pone.0008251)	NA	NA
Acrylamides	SMB-1	SMB-1	O=C(N(C)[C@@H](C)C1=CC=C(OCCN2CC3CC3)C2=C1)/C=C/C4=C(F)C=CC=C4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Blom, 2014, 10.1371/journal.pone.0100209)	NA	NA
NA	BMS-568274	BMS-568274	O=C(N[C@@H](C)C1=CC=C(F)C(N2CCOCC2)=C1)/C=C/C3=CC=C(F)C=C3	NA	(E)-N-[(1S)-1-(4-fluoro-3-morpholin-4-ylphenyl)ethyl]-3-(4-fluorophenyl)prop-2-enamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wu, 2003, 10.1021/jm034111v)	NA	NA
NA	NA	(Wang, 2019)	FC1=CC=C(CN(C#C)C2=CC(NC(OC(C)(C)C)=O)=C(NC(OCC)=O)C=C2)C=C1	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wang, 2018, 10.1021/acsmedchemlett.8b00315)	There are a few more compounds in this paper	NA
NA	NA	HN38	FC1=CC=C(CN(CC(C)=C)C2=CC(NC(OCC)=O)=C(NC(OCC)=O)C=C2)C=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Hu, 2013, 10.1038/aps.2013.79)	NA	NA
linopridine	linopirdine	linopirdine	O=C1N(C2=CC=CC=C2)C3=CC=CC=C3C1(CC4=CC=NC=C4)CC5=CC=NC=C5	NA	3,3-bis(4-pyridinylmethyl)-1-phenylindolin-2-one	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Aiken, 1995, 10.1111/j.1476-5381.1995.tb15019.x)	NA	NA
linopridine	XE-991	XE-991	O=C1C2=CC=CC=C2C(CC3=CC=NC=C3)(CC4=CC=NC=C4)C5=C1C=CC=C5	NA	10,10-bis(4-pyridinylmethyl)-9(101-1)-anthracenone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Zaczek, 1998, http://jpet.aspetjournals.org/content/285/2/724)	NA	NA
linopridine	NA	DMP-543	O=C1C2=C(C=CC=C2)C(CC3=CC=NC(F)=C3)(CC4=CC(F)=NC=C4)C5=C1C=CC=C5	NA	10,10-bis(2-fluoro-4-pyridinylmethyl)-9(10H)-anthracenone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Zaczek, 1998, http://jpet.aspetjournals.org/content/285/2/724)	NA	NA
NA	NA	spooky toxin	peptide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Luo, 2018, 10.1073/pnas.1714760115)	NA	NA
linopridine	NA	UCL-2077	C1(CNC(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CN=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Soh, 2010, 10.1124/mol.110.066100)	NA	NA
NA	ML	ML-252	O=C([C@H](C1=CC=CC=C1)CC)NC2=C(N3CCCC3)C=CC=C2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Cheung, 2012, 10.1021/jm300700v)	NA	NA
NA	ICA	ICA-105665	FC1=C(F)C=C(C(NC2=CN=C(Cl)C=C2)=O)C=C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Roeloffs, 2008, 10.1124/jpet.108.137794)	NA	NA
NA	NA	zinc pyrithione (ZnPy)	C12=S[Zn+2]3([O-]N(C=CC=C4)C4=S3)[O-]N1C=CC=C2	NA	NA	Non-retigabine Pore S5-S6 site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Xiong, 2007, 10.1038/nchembio874)	NA	ZnPy, but not RTG, is much more effective on KCNQ2 homomultimers than typical KCNQ2/KCNQ3 heteromultimers
NA	NA	zinc pyrithione (ZnPy)	C12=S[Zn+2]3([O-]N(C=CC=C4)C4=S3)[O-]N1C=CC=C2	NA	NA	Non-retigabine Pore S5-S6 site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Xiong, 2008, 10.1073/pnas.0712256105)	NA	retigabine and zinc pyrithione recognize two different sites of KCNQ2 channels
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Xiong, 2008, 10.1073/pnas.0712256105)	NA	retigabine and zinc pyrithione recognize two different sites of KCNQ2 channels
NA	NA	tetraethylammonium	CC[N+](CC)(CC)CC	NA	tetraethylazanium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Hadley, 2009, 10.1038/sj.bjp.0703086)	NA	NA
NA	NA	tetraethylammonium	CC[N+](CC)(CC)CC	NA	tetraethylazanium	NA	NA	NA	NA	160	NA	3500	NA	NA	NA	NA	NA	(Wang, 1998, 10.1126/science.282.5395.1890)	NA	NA
linopridine	XE-991	XE-991	O=C1C2=CC=CC=C2C(CC3=CC=NC=C3)(CC4=CC=NC=C4)C5=C1C=CC=C5	NA	10,10-bis(4-pyridinylmethyl)-9(101-1)-anthracenone	NA	NA	0.71	NA	0.7	NA	0.6	NA	NA	NA	NA	NA	(Wang, 1998, 10.1126/science.282.5395.1890)	NA	NA
linopridine	linopirdine	linopirdine	O=C1N(C2=CC=CC=C2)C3=CC=CC=C3C1(CC4=CC=NC=C4)CC5=CC=NC=C5	NA	3,3-bis(4-pyridinylmethyl)-1-phenylindolin-2-one	NA	NA	8.9	NA	4.7	NA	4	NA	NA	NA	NA	NA	(Wang, 1998, 10.1126/science.282.5395.1890)	NA	NA
Benzamides	ICA	ICA-27243	FC1=CC=C(C(NC2=CC=C(Cl)N=C2)=O)C=C1F	NA	NA	S1–S4 voltage-sensor domain (VSD) (Padilla et al. 2009)	activator	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Wickenden, 2008, 10.1124/mol.107.043216)	NA	NA
Benzamides	ICA	ICA-27243	FC1=CC=C(C(NC2=CC=C(Cl)N=C2)=O)C=C1F	NA	NA	S1–S4 voltage-sensor domain (VSD) (Padilla et al. 2009)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	NA	Chimera study to localize binding site
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	NA	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Padilla, 2009, 10.1016/j.neulet.2009.08.071)	NA	NA
Benzamides	ICA	ICA-27243	FC1=CC=C(C(NC2=CC=C(Cl)N=C2)=O)C=C1F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Blom, 2010, 10.1159/00031752)	NA	NA
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	NA	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Blom, 2010, 10.1159/00031752)	NA	NA
Benzamides	ICA	ICA-069673 (ICA73)	ClC1=NC=C(NC(C2=CC=C(F)C(F)=C2)=O)C=N1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Amato, 2011, 10.1021/ml200053x)	NA	NA
Benzamides	ICA	ICA-069673 (ICA73)	ClC1=NC=C(NC(C2=CC=C(F)C(F)=C2)=O)C=N1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Brueggemann, 2014, 10.1124/mol.114.093799)	NA	NA
