reference	substance_name	receptor	cell_line	measurement	assay_params	value	units	significant	info	retigabine_site	ICA27243_site
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_45	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	34.1	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_38	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	13.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_46	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	46.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_87	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	32.8	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_04	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	NULL	mV	NA	Not Shifted	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_62	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	34.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_45	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	26.9	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_36	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	NULL	mV	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL673_02	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	42.5	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_86	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	49.9	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_73	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	47	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_81	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	51.1	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	retigabine	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	SF-0034	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_40	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	12.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_50	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	2.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_29	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	19.4	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_45	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_38	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_46	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_87	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_04	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_62	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_45	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_36	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL673_02	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	9.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_86	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	2.6	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_73	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	4.3	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_81	KCNQ4	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	5.1	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	retigabine	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	SF-0034	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_40	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	29.7	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_50	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	5.6	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_29	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	9.5	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_45	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_38	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_46	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_87	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_04	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_62	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_45	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_36	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	NULL	NA	NA	Not Tested	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL673_02	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	7.4	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_86	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	3.6	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_73	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	5.4	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_81	KCNK5	CHO	Whole-Cell Patch Clamp	ΔV1/2 @ 10 uM	6.7	mV	NA	NA	1	NULL
(Shi, 2020, 10.1007/s00232-020-00113-6)	RL648_81	KCNQ2	N/A	in-silico MD (Autodock 4.2)	ΔG binding	-5.57	kcal/mol	NA	NA	NA	NULL
(Shi, 2020, 10.1007/s00232-020-00113-6)	retigabine	KCNQ2	N/A	in-silico MD (Autodock 4.2)	ΔG binding	NULL	NA	NA	Standard	NA	NULL
(Shi, 2020, 10.1007/s00232-020-00113-6)	RL648_81(D)	KCNQ2	N/A	in-silico MD (Autodock 4.2)	ΔG binding	-5.78	kcal/mol	NA	NA	NA	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	NS15370	KCNQ2	HEK293	Fluorescence based Tl+ influx assay	EC50	0.1	uM	NA	NS15370 depended on the tryptophan in the S5 helix	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	retigabine	KCNQ2	HEK293	Fluorescence based Tl+ influx assay	EC50	2.8	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	NS15370	KCNQ4	HEK293	Fluorescence based Tl+ influx assay	EC50	0.1	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	retigabine	KCNQ4	HEK293	Fluorescence based Tl+ influx assay	EC50	8.1	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	NS15370	KCNQ5	HEK293	Fluorescence based Tl+ influx assay	EC50	0.15	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	retigabine	KCNQ5	HEK293	Fluorescence based Tl+ influx assay	EC50	12	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	NS15370	KCNQ2/3	HEK293	Fluorescence based Tl+ influx assay	EC50	0.13	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	retigabine	KCNQ2/3	HEK293	Fluorescence based Tl+ influx assay	EC50	1.5	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	NS15370	KCNQ2/3 (concatenateed)	HEK293	Fluorescence based Tl+ influx assay	EC50	0.04	uM	NA	NA	1	NULL
(Dalby-Brown, 2013, 10.1016/j.ejphar.2013.03.039)	retigabine	KCNQ2/3 (concatenateed)	HEK293	Fluorescence based Tl+ influx assay	EC50	0.9	uM	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ1	CHO	standard whole-cell recording	ΔV1/2	NULL	NA	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ2	CHO	standard whole-cell recording	ΔV1/2	-47.1	mV	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ3	CHO	standard whole-cell recording	ΔV1/2	-46.1	mV	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ2/3	CHO	standard whole-cell recording	ΔV1/2	-62.4	mV	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ4	CHO	standard whole-cell recording	ΔV1/2	-25.1	mV	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ1	CHO	standard whole-cell recording	I/I0 @ 10uM P-RTG	1.01	NA	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ2	CHO	standard whole-cell recording	I/I0 @ 10uM P-RTG	1.75	NA	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ3	CHO	standard whole-cell recording	I/I0 @ 10uM P-RTG	2.28	NA	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ2/3	CHO	standard whole-cell recording	I/I0 @ 10uM P-RTG	2.01	NA	NA	NA	1	NULL
(Zhou, 2015, 10.1124/mol.114.095190)	P-RTG	KCNQ4	CHO	standard whole-cell recording	I/I0 @ 10uM P-RTG	2.94	NA	NA	NA	1	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	retigabine	KCNQ2/3	HEK293	Whole-Cell Patch Clamp	EC50	6.5	uM	NA	NA	1	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ2/3	HEK293	Whole-Cell Patch Clamp	EC50	1.3	uM	NA	NA	1	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	retigabine	KCNQ2/3	HEK293	Whole-Cell Patch Clamp	ΔV1/2	40	mV	NA	NA	1	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ2/3	HEK293	Whole-Cell Patch Clamp	ΔV1/2	40	mV	NA	NA	1	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ4	HEK293	Whole-Cell Patch Clamp	V1/2 @ 100nM	20	mV	NA	non significant shift from control so no ΔV1/2	0	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ4	HEK293	Whole-Cell Patch Clamp	V1/2 @ 10nM	25	mV	NA	non significant shift from control so no ΔV1/3	0	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ5	HEK293	Whole-Cell Patch Clamp	V1/2 @ 100nM	60	mV	NA	non significant shift from control so no ΔV1/4	0	NULL
(Kalappa, 2015, 10.1523/JNEUROSCI.5176-14.2015)	SF0034	KCNQ5	HEK293	Whole-Cell Patch Clamp	V1/2 @ 10nM	70	mV	NA	non significant shift from control so no ΔV1/5	0	NULL
(Wu, 2003, 10.1021/jm034073f)	Acrylamide (S)-1	KCNQ2	Xenopus laevis	Whole cell Patch Clamp	EC50	0.69	uM	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ4	Xenopus laevis	concentrationeresponse  experiment	EC50	10.4	uM	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ1	Xenopus laevis	Whole cell Patch Clamp	IC50	18	uM	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ1/KCNE1	Xenopus laevis	Whole cell Patch Clamp	IC50	27	uM	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ2	Xenopus laevis	Whole cell Patch Clamp	ΔV1/2	32	mV	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ4	Xenopus laevis	Whole cell Patch Clamp	ΔV1/2	29	mV	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ2/3	Xenopus laevis	Whole cell Patch Clamp	ΔV1/2	24	mV	NA	NA	1	NULL
(Bentzen, 2006, 10.1016/j.neuropharm.2006.07.001)	Acrylamide (S)-1	KCNQ5	Xenopus laevis	Whole cell Patch Clamp	ΔV1/2	16	mV	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Acrylamide (S)-1	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	163	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_2	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	121	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_3	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	127	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_4	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	88	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_5	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	102	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_6	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	124	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_7	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	99	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_8	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	132	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_9	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	140	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_10	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	98	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_11	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	96	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_12	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	129	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_13	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	142	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_14	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	138	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_15	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	110	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_16	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	110	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_17	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	104	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_18	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	135	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_19	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	133	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_20	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	107	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_21	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	98	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_22	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	110	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_23	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	105	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_24	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	72	% compound/compound free control	NA	NA	0	NULL
(Wu, 2004, 10.1021/jm0305826)	Wu_Nov2004_25	mKCNQ2	Xenopus laevis oocytes	voltage clamp techniques	%current (10uM of compound @-40mV compared to control w/o compound)	101	% compound/compound free control	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	retigabine	KCNQ1	HEK 293	Whole-Cell Patch Clamp	EC50	1.3	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (S)-1	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	3.2	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (S)-2	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.06	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (S)-3	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.02	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (+/-)-3	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.072	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (S)-4	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.33	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (S)-5	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	0.43	uM	NA	NA	1	NULL
(Wu, 2004, 10.1016/j.bmcl.2004.06.035)	Acrylamide (R)-5	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	-	NA	NA	NA	0	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	retigabine	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	1300	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-2	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	3200	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-3	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	60	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-4	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	20	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-5	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	10	nM	NA	NA	1	NULL
(Wu, 2013, 10.1016/j.bmcl.2013.08.092)	Acrylamide (S)-6	KCNQ2	HEK 293	Whole-Cell Patch Clamp	EC50	2.4	nM	NA	NA	1	NULL
